touchdowns_pass_diff,touchdowns_rush_diff,touchdowns_total_diff,rushing_avg_yards_diff,rushing_attempts_diff,rushing_yards_diff,receiving_receptions_diff,receiving_avg_yards_diff,receiving_yards_diff,punts_attempts_diff,punts_avg_net_yards_diff,punt_returns_avg_yards_diff,penalties_diff,passing_attempts_diff,passing_completions_diff,passing_interceptions_diff,passing_avg_yards_diff,passing_poor_throws_diff,passing_defended_passes_diff,kickoffs_return_yards_diff,kick_returns_avg_yards_diff,kick_returns_touchdowns_diff,interceptions_diff,int_returns_avg_yards_diff,fumbles_diff,field_goals_attempts_diff,field_goals_made_diff,field_goals_avg_yards_diff,defense_tackles_diff,defense_assists_diff,defense_qb_hits_diff,matchup,outcome
3,4,6,0.71,26,429,-4,2.614,872,-35,-3.398,-3.479,1,-33,-4,9,2.024,-35,22,13,0.072,0,0,7.273,7,18,12,-12.709,-29,-12,-20,49ers vs Bears,1
-20,6,-15,0.591,77,589,-111,1.985,-494,-6,-5.493,1.894,10,-119,-111,7,0.757,3,-3,358,-0.535,-1,-4,-1.418,2,10,8,0.67,-17,-41,-25,49ers vs Bengals,0
-7,-15,-23,0.191,-34,-67,20,0.706,486,-8,-1.991,-2.405,-1,13,20,10,0.727,-15,9,80,2.641,0,-5,6.119,15,14,9,-4.381,-52,-5,-14,49ers vs Bills,0
-7,5,-5,0.594,-4,255,-30,2.629,616,-30,-4.217,-6.504,3,-37,-30,4,1.619,-7,7,244,0.516,0,-4,-13.485,12,9,2,-10.148,-40,-26,-62,49ers vs Broncos,0
4,9,13,0.62,66,555,-46,2.856,545,-42,-3.258,-0.812,-8,-128,-46,-7,2.432,-32,-23,172,3.687,0,7,15.682,6,16,15,0.06,-21,27,-28,49ers vs Browns,1
-18,1,-17,-0.518,-26,-373,-59,1.634,-81,-3,0.489,1.617,3,-38,-59,0,0.41,13,-1,222,2.193,0,4,11.182,0,11,3,-6.553,-33,36,-34,49ers vs Buccaneers,0
2,-1,0,-0.561,-6,-288,-25,2.358,565,-7,-4.876,-0.431,19,-10,-25,5,1.193,10,-2,377,0.156,-1,2,13.849,5,5,-1,-7.452,-9,-81,4,49ers vs Cardinals,0
0,0,1,0.668,-6,281,13,1.066,523,-25,-4.052,-2.767,15,23,13,13,0.651,8,8,105,2.061,0,-4,3.649,6,1,-6,-8.376,-16,20,-18,49ers vs Chargers,0
-3,2,0,0.755,7,373,-55,2.661,378,-15,-3.723,-0.715,17,-67,-55,5,1.557,-16,15,142,1.447,0,-2,7.336,16,6,1,-1.912,-16,47,-32,49ers vs Chiefs,0
3,-3,1,0.033,-39,-168,60,0.223,825,-21,-4.779,-0.658,18,20,60,-3,1.284,-36,-5,396,-0.757,0,-5,8.619,6,6,2,-2.723,-92,-80,-3,49ers vs Colts,0
-6,-8,-13,-0.246,-69,-456,-16,1.903,492,-3,-5.091,-1.212,0,8,-16,7,0.81,6,16,-940,-0.727,0,4,-6.675,6,1,-1,-2.16,11,-13,-8,49ers vs Commanders,0
0,11,9,0.759,28,458,-49,2.395,332,-15,-3.852,-0.654,-17,-104,-49,2,1.876,-36,-29,-204,-3.572,-2,-2,7.72,-3,-4,-7,-11.52,-7,-10,-25,49ers vs Cowboys,0
1,5,8,0.726,9,368,-64,2.904,388,-10,-2.91,-0.383,-3,-58,-64,6,1.471,1,6,419,-0.522,0,1,13.082,-2,2,-4,-8.746,29,4,-1,49ers vs Dolphins,0
-1,-12,-12,-0.175,-164,-885,46,1.069,907,-8,-4.118,0.009,8,85,46,10,0.45,16,14,20,2.001,0,-2,2.413,7,7,5,0.048,24,27,-7,49ers vs Eagles,0
2,-1,-1,0.25,-38,-56,-15,0.91,141,0,-0.531,-0.336,12,-26,-15,-3,0.638,2,-15,111,2.149,0,-1,-0.401,5,2,4,-1.235,-37,-15,6,49ers vs Falcons,0
8,4,12,0.528,33,380,-17,3.056,903,-30,-2.256,1.588,-1,-58,-17,3,2.342,-8,-13,391,0.21,-1,6,4.782,4,15,10,-4.653,-10,-102,-14,49ers vs Giants,1
4,4,8,0.557,43,434,6,1.839,707,-21,-7.015,-2.59,12,-13,6,1,1.492,-16,-3,574,2.826,0,5,8.349,7,14,6,-7.243,-69,-19,12,49ers vs Jaguars,1
-8,9,2,0.433,94,602,-36,2.245,408,-16,-2.874,1.127,-26,-74,-36,5,1.684,-24,0,45,-1.76,-1,4,12.611,6,15,13,3.235,-45,17,-4,49ers vs Jets,1
-16,-12,-28,0.074,-77,-325,-50,0.851,-294,2,-7.947,-3.758,4,-18,-50,4,-0.263,6,21,139,-2.884,0,-5,5.494,14,14,7,-8.243,18,83,-30,49ers vs Lions,0
-5,-6,-10,-0.012,-69,-333,41,-0.113,485,-9,-1.834,0.872,-1,54,41,5,0.077,-6,23,-426,0.316,0,-6,-1.759,8,5,1,-2.183,-14,-8,-11,49ers vs Packers,0
1,-1,2,0.153,47,285,8,2.673,1013,-27,-3.65,1.813,-7,-14,8,1,2.064,-26,12,-122,3.278,0,2,4.515,9,17,11,-2.324,-51,-131,16,49ers vs Panthers,1
5,6,12,0.318,11,194,7,2.901,1081,-23,-3.734,-5.045,0,4,7,5,1.981,-9,12,319,3.054,0,4,8.182,-4,10,7,-3.553,-17,-63,14,49ers vs Patriots,1
4,7,12,1.162,77,806,-61,2.635,307,-20,-4.728,-0.59,15,-102,-61,0,1.817,-26,-3,272,-1.049,0,1,2.182,8,3,-1,-4.184,7,-42,-6,49ers vs Raiders,1
1,2,1,0.811,7,398,-18,1.515,328,-16,-2.715,0.244,20,-26,-18,7,0.973,-20,0,467,1.137,0,-2,4.028,13,9,4,-3.974,-8,-74,8,49ers vs Rams,0
-18,-4,-23,-1.023,-97,-1026,31,-0.497,235,-8,-3.409,-0.494,-21,56,31,12,-0.482,7,20,53,1.483,0,-1,6.682,7,13,11,-1.642,3,1,-42,49ers vs Ravens,0
2,2,5,0.332,13,209,9,1.705,694,-28,-2.591,-3.354,1,-18,9,4,1.53,-8,1,-621,1.489,0,-3,3.111,10,12,6,-8.709,-49,11,-4,49ers vs Saints,1
2,0,-1,0.485,74,536,-64,2.073,45,-29,-5.507,1.748,-8,-60,-64,0,0.916,13,-10,-266,0.49,-1,-2,-5.433,5,13,7,-10.45,-23,-34,-32,49ers vs Seahawks,0
2,3,5,0.669,-76,-3,28,1.439,817,-21,-3.544,-1.133,9,34,28,10,1.072,0,20,-287,5.516,0,-6,2.888,4,-1,-8,-10.302,0,-4,-25,49ers vs Steelers,0
3,2,4,0.334,23,254,-8,1.606,472,-30,-6.139,0.895,-8,-37,-8,4,1.367,-30,7,-278,-2.875,0,-8,0.708,12,1,-3,-7.304,0,51,-18,49ers vs Texans,0
1,6,9,0.611,7,308,13,1.899,803,-28,-0.484,1.747,-21,3,13,-5,1.468,-19,14,-39,1.491,0,0,7.364,-2,16,8,-9.098,-12,-14,13,49ers vs Titans,1
-12,8,-5,0.674,0,308,-15,0.646,45,-10,-2.717,2.355,1,-15,-15,4,0.309,-1,6,449,4.159,0,-13,9.349,9,1,-2,-5.161,-22,-15,-33,49ers vs Vikings,0
-23,2,-21,-0.119,51,160,-107,-0.629,-1366,29,-2.095,5.373,9,-86,-107,-2,-1.267,38,-25,345,-0.607,-1,-4,-8.691,-5,-8,-4,13.379,12,-29,-5,Bears vs Bengals,0
-10,-19,-29,-0.519,-60,-496,24,-1.908,-386,27,1.407,1.074,-2,46,24,1,-1.297,20,-13,67,2.569,0,-5,-1.154,8,-4,-3,8.328,-23,7,6,Bears vs Bills,0
-10,1,-11,-0.116,-30,-174,-26,0.015,-256,5,-0.819,-3.025,2,-4,-26,-5,-0.405,28,-15,231,0.444,0,-4,-20.758,5,-9,-10,2.561,-11,-14,-42,Bears vs Broncos,0
1,5,7,-0.09,40,126,-42,0.242,-327,-7,0.14,2.667,-9,-95,-42,-16,0.408,3,-45,159,3.615,0,7,8.409,-1,-2,3,12.769,8,39,-8,Bears vs Browns,1
-21,-3,-23,-1.228,-52,-802,-55,-0.98,-953,32,3.887,5.096,2,-5,-55,-9,-1.614,48,-23,209,2.121,0,4,3.909,-7,-7,-9,6.156,-4,48,-14,Bears vs Buccaneers,0
-1,-5,-6,-1.271,-32,-717,-21,-0.256,-307,28,-1.478,3.048,18,23,-21,-4,-0.831,45,-24,364,0.084,-1,2,6.576,-2,-13,-13,5.257,20,-69,24,Bears vs Cardinals,0
-3,-4,-5,-0.042,-32,-148,17,-1.548,-349,10,-0.654,0.712,14,56,17,4,-1.373,43,-14,92,1.989,0,-4,-3.624,-1,-17,-18,4.333,13,32,2,Bears vs Chargers,0
-6,-2,-6,0.045,-19,-56,-51,0.047,-494,20,-0.325,2.764,16,-34,-51,-4,-0.467,19,-7,129,1.375,0,-2,0.063,9,-12,-11,10.797,13,59,-12,Bears vs Chiefs,0
0,-7,-5,-0.677,-65,-597,64,-2.391,-47,14,-1.381,2.821,17,53,64,-12,-0.74,-1,-27,383,-0.829,0,-5,1.346,-1,-12,-10,9.986,-63,-68,17,Bears vs Colts,0
-9,-12,-19,-0.956,-95,-885,-12,-0.711,-380,32,-1.693,2.267,-1,41,-12,-2,-1.214,41,-6,-953,-0.799,0,4,-13.948,-1,-17,-13,10.549,40,-1,12,Bears vs Commanders,0
-3,7,3,0.049,2,29,-45,-0.219,-540,20,-0.454,2.825,-18,-71,-45,-7,-0.148,-1,-51,-217,-3.644,-2,-2,0.447,-10,-22,-19,1.189,22,2,-5,Bears vs Cowboys,0
-2,1,2,0.016,-17,-61,-60,0.29,-484,25,0.488,3.096,-4,-25,-60,-3,-0.553,36,-16,406,-0.594,0,1,5.809,-9,-16,-16,3.963,58,16,19,Bears vs Dolphins,0
-4,-16,-18,-0.885,-190,-1314,50,-1.545,35,27,-0.72,3.488,7,118,50,1,-1.574,51,-8,7,1.929,0,-2,-4.86,0,-11,-7,12.757,53,39,13,Bears vs Eagles,0
-1,-5,-7,-0.46,-64,-485,-11,-1.704,-731,35,2.867,3.143,11,7,-11,-12,-1.386,37,-37,98,2.077,0,-1,-7.674,-2,-16,-8,11.474,-8,-3,26,Bears vs Falcons,0
5,0,6,-0.182,7,-49,-13,0.442,31,5,1.142,5.067,-2,-25,-13,-6,0.318,27,-35,378,0.138,-1,6,-2.491,-3,-3,-2,8.056,19,-90,6,Bears vs Giants,1
1,0,2,-0.153,17,5,10,-0.775,-165,14,-3.617,0.889,11,20,10,-8,-0.532,19,-25,561,2.754,0,5,1.076,0,-4,-6,5.466,-40,-7,32,Bears vs Jaguars,1
-11,5,-4,-0.277,68,173,-32,-0.369,-464,19,0.524,4.606,-27,-41,-32,-4,-0.34,11,-22,32,-1.832,-1,4,5.338,-1,-3,1,15.944,-16,29,16,Bears vs Jets,0
-19,-16,-34,-0.636,-103,-754,-46,-1.763,-1166,37,-4.549,-0.279,3,15,-46,-5,-2.287,41,-1,126,-2.956,0,-5,-1.779,7,-4,-5,4.466,47,95,-10,Bears vs Lions,0
-8,-10,-16,-0.722,-95,-762,45,-2.727,-387,26,1.564,4.351,-2,87,45,-4,-1.947,29,1,-439,0.244,0,-6,-9.032,1,-13,-11,10.526,15,4,9,Bears vs Packers,0
-2,-5,-4,-0.557,21,-144,12,0.059,141,8,-0.252,5.292,-8,19,12,-8,0.04,9,-10,-135,3.206,0,2,-2.758,2,-1,-1,10.385,-22,-119,36,Bears vs Panthers,0
2,2,6,-0.392,-15,-235,11,0.287,209,12,-0.336,-1.566,-1,37,11,-4,-0.043,26,-10,306,2.982,0,4,0.909,-11,-8,-5,9.156,12,-51,34,Bears vs Patriots,1
1,3,6,0.452,51,377,-57,0.021,-565,15,-1.33,2.889,14,-69,-57,-9,-0.207,9,-25,259,-1.121,0,1,-5.091,1,-15,-13,8.525,36,-30,14,Bears vs Raiders,1
-2,-2,-5,0.101,-19,-31,-14,-1.099,-544,19,0.683,3.723,19,7,-14,-2,-1.051,15,-22,454,1.065,0,-2,-3.245,6,-9,-8,8.735,21,-62,28,Bears vs Rams,0
-21,-8,-29,-1.733,-123,-1455,35,-3.111,-637,27,-0.011,2.985,-22,89,35,3,-2.506,42,-2,40,1.411,0,-1,-0.591,0,-5,-1,11.067,32,13,-22,Bears vs Ravens,0
-1,-2,-1,-0.378,-13,-220,13,-0.909,-178,7,0.807,0.125,0,15,13,-5,-0.494,27,-21,-634,1.417,0,-3,-4.162,3,-6,-6,4.0,-20,23,16,Bears vs Saints,0
-1,-4,-7,-0.225,48,107,-60,-0.541,-827,6,-2.109,5.227,-9,-27,-60,-9,-1.108,48,-32,-279,0.418,-1,-2,-12.706,-2,-5,-5,2.259,6,-22,-12,Bears vs Seahawks,0
-1,-1,-1,-0.041,-102,-432,32,-1.175,-55,14,-0.146,2.346,8,67,32,1,-0.952,35,-2,-300,5.444,0,-6,-4.385,-3,-19,-20,2.407,29,8,-5,Bears vs Steelers,0
0,-2,-2,-0.376,-3,-175,-4,-1.008,-400,5,-2.741,4.374,-9,-4,-4,-5,-0.657,5,-15,-291,-2.947,0,-8,-6.565,5,-17,-15,5.405,29,63,2,Bears vs Texans,0
-2,2,3,-0.099,-19,-121,17,-0.715,-69,7,2.914,5.226,-22,36,17,-14,-0.556,16,-8,-52,1.419,0,0,0.091,-9,-2,-4,3.611,17,-2,33,Bears vs Titans,1
-15,4,-11,-0.036,-26,-121,-11,-1.968,-827,25,0.681,5.834,0,18,-11,-5,-1.715,34,-16,436,4.087,0,-13,2.076,2,-17,-14,7.548,7,-3,-13,Bears vs Vikings,0
13,-21,-8,-0.4,-111,-656,131,-1.279,980,-2,3.502,-4.299,-11,132,131,3,-0.03,-18,12,-278,3.176,1,-1,7.537,13,4,1,-5.051,-35,36,11,Bengals vs Bills,0
13,-1,10,0.003,-81,-334,81,0.644,1110,-24,1.276,-8.398,-7,82,81,-3,0.862,-10,10,-114,1.051,1,0,-12.067,10,-1,-6,-10.818,-23,15,-37,Bengals vs Broncos,0
24,3,28,0.029,-11,-34,65,0.871,1039,-36,2.235,-2.706,-18,-9,65,-14,1.675,-35,-20,-186,4.222,1,11,17.1,4,6,7,-0.61,-4,68,-3,Bengals vs Browns,1
2,-5,-2,-1.109,-103,-962,52,-0.351,413,3,5.982,-0.277,-7,81,52,-7,-0.347,10,2,-136,2.728,1,8,12.6,-2,1,-5,-7.223,-16,77,-9,Bengals vs Buccaneers,0
22,-7,15,-1.152,-83,-877,86,0.373,1059,-1,0.617,-2.325,9,109,86,-2,0.436,7,1,19,0.691,0,6,15.267,3,-5,-9,-8.122,8,-40,29,Bengals vs Cardinals,1
20,-6,16,0.077,-83,-308,124,-0.919,1017,-19,1.441,-4.661,5,142,124,6,-0.106,5,11,-253,2.596,1,0,5.067,4,-9,-14,-9.046,1,61,7,Bengals vs Chargers,0
17,-4,15,0.164,-70,-216,56,0.676,872,-9,1.77,-2.609,7,52,56,-2,0.8,-19,18,-216,1.982,1,2,8.754,14,-4,-7,-2.582,1,88,-7,Bengals vs Chiefs,0
23,-9,16,-0.558,-116,-757,171,-1.762,1319,-15,0.714,-2.552,8,139,171,-10,0.527,-39,-2,38,-0.222,1,-1,10.037,4,-4,-6,-3.393,-75,-39,22,Bengals vs Colts,1
14,-14,2,-0.837,-146,-1045,95,-0.082,986,3,0.402,-3.106,-10,127,95,0,0.053,3,19,-1298,-0.192,1,8,-5.257,4,-9,-9,-2.83,28,28,17,Bengals vs Commanders,0
20,5,24,0.168,-49,-131,62,0.41,826,-9,1.641,-2.548,-27,15,62,-5,1.119,-39,-26,-562,-3.037,-1,2,9.138,-5,-14,-15,-12.19,10,31,0,Bengals vs Cowboys,1
21,-1,23,0.135,-68,-221,47,0.919,882,-4,2.583,-2.277,-13,61,47,-1,0.714,-2,9,61,0.013,1,5,14.5,-4,-8,-12,-9.416,46,45,24,Bengals vs Dolphins,1
19,-18,3,-0.766,-241,-1474,157,-0.916,1401,-2,1.375,-1.885,-2,204,157,3,-0.307,13,17,-338,2.536,1,2,3.831,5,-3,-3,-0.622,41,68,18,Bengals vs Eagles,0
22,-7,14,-0.341,-115,-645,96,-1.075,635,6,4.962,-2.23,2,93,96,-10,-0.119,-1,-12,-247,2.684,1,3,1.017,3,-8,-4,-1.905,-20,26,31,Bengals vs Falcons,1
28,-2,27,-0.063,-44,-209,94,1.071,1397,-24,3.237,-0.306,-11,61,94,-4,1.585,-11,-10,33,0.745,0,10,6.2,2,5,2,-5.323,7,-61,11,Bengals vs Giants,1
24,-2,23,-0.034,-34,-155,117,-0.146,1201,-15,-1.522,-4.484,2,106,117,-6,0.735,-19,0,216,3.361,1,9,9.767,5,4,-2,-7.913,-52,22,37,Bengals vs Jaguars,1
12,3,17,-0.158,17,13,75,0.26,902,-10,2.619,-0.767,-36,45,75,-2,0.927,-27,3,-313,-1.225,0,8,14.029,4,5,5,2.565,-28,58,21,Bengals vs Jets,1
4,-18,-13,-0.517,-154,-914,61,-1.134,200,8,-2.454,-5.652,-6,101,61,-3,-1.02,3,24,-219,-2.349,1,-1,6.912,12,4,-1,-8.913,35,124,-5,Bengals vs Lions,0
15,-12,5,-0.603,-146,-922,152,-2.098,979,-3,3.659,-1.022,-11,173,152,-2,-0.68,-9,26,-784,0.851,1,-2,-0.341,6,-5,-7,-2.853,3,33,14,Bengals vs Packers,0
21,-7,17,-0.438,-30,-304,119,0.688,1507,-21,1.843,-0.081,-17,105,119,-6,1.307,-29,15,-480,3.813,1,6,5.933,7,7,3,-2.994,-34,-90,41,Bengals vs Panthers,1
25,0,27,-0.273,-66,-395,118,0.916,1575,-17,1.759,-6.939,-10,123,118,-2,1.224,-12,15,-39,3.589,1,8,9.6,-6,0,-1,-4.223,0,-22,39,Bengals vs Patriots,1
24,1,27,0.571,0,217,50,0.65,801,-14,0.765,-2.484,5,17,50,-7,1.06,-29,0,-86,-0.514,1,5,3.6,6,-7,-9,-4.854,24,-1,19,Bengals vs Raiders,1
21,-4,16,0.22,-70,-191,93,-0.47,822,-10,2.778,-1.65,10,93,93,0,0.216,-23,3,109,1.672,1,2,5.446,11,-1,-4,-4.644,9,-33,33,Bengals vs Rams,0
2,-10,-8,-1.614,-174,-1615,142,-2.482,729,-2,2.084,-2.388,-31,175,142,5,-1.239,4,23,-305,2.018,1,3,8.1,5,3,3,-2.312,20,42,-17,Bengals vs Ravens,0
22,-4,20,-0.259,-64,-380,120,-0.28,1188,-22,2.902,-5.248,-9,101,120,-3,0.773,-11,4,-979,2.024,1,1,4.529,8,2,-2,-9.379,-32,52,21,Bengals vs Saints,1
22,-6,14,-0.106,-3,-53,47,0.088,539,-23,-0.014,-0.146,-18,59,47,-7,0.159,10,-7,-624,1.025,0,2,-4.015,3,3,-1,-11.12,-6,7,-7,Bengals vs Seahawks,0
22,-3,20,0.078,-153,-592,139,-0.546,1311,-15,1.949,-3.027,-1,153,139,3,0.315,-3,23,-645,6.051,1,-2,4.306,2,-11,-16,-10.972,17,37,0,Bengals vs Steelers,0
23,-4,19,-0.257,-54,-335,103,-0.379,966,-24,-0.646,-0.999,-18,82,103,-3,0.61,-33,10,-636,-2.34,1,-4,2.126,10,-9,-11,-7.974,17,92,7,Bengals vs Texans,0
21,0,24,0.02,-70,-281,124,-0.086,1297,-22,5.009,-0.147,-31,122,124,-12,0.711,-22,17,-397,2.026,1,4,8.782,-4,6,0,-9.768,5,27,38,Bengals vs Titans,1
8,2,10,0.083,-77,-281,96,-1.339,539,-4,2.776,0.461,-9,104,96,-3,-0.448,-4,9,91,4.694,1,-9,10.767,7,-9,-10,-5.831,-5,26,-8,Bengals vs Vikings,0
0,20,18,0.403,30,322,-50,1.923,130,-22,-2.226,-4.099,4,-50,-50,-6,0.892,8,-2,164,-2.125,0,1,-19.604,-3,-5,-7,-5.767,12,-21,-48,Bills vs Broncos,1
11,24,36,0.429,100,622,-66,2.15,59,-34,-1.267,1.593,-7,-141,-66,-17,1.705,-17,-32,92,1.046,0,12,9.563,-9,2,6,4.441,31,32,-14,Bills vs Browns,1
-11,16,6,-0.709,8,-306,-79,0.928,-567,5,2.48,4.022,4,-51,-79,-10,-0.317,28,-10,142,-0.448,0,9,5.063,-15,-3,-6,-2.172,19,41,-20,Bills vs Buccaneers,1
9,14,23,-0.752,28,-221,-45,1.652,79,1,-2.885,1.974,20,-23,-45,-5,0.466,25,-11,297,-2.485,-1,7,7.73,-10,-9,-10,-3.071,43,-76,18,Bills vs Cardinals,1
